date,close,high,low,filecoin_volume,energy_used
2021-05-26,74.758377,74.980293,70.430519,1077954768,61025.91332
2021-05-27,71.175743,74.639511,69.134895,771726865,59631.85086
2021-05-28,66.820404,71.719139,65.039772,908945043,59953.63659
2021-05-29,68.212379,69.756561,64.982582,783841320,57952.14792
2021-05-30,68.422081,69.271622,65.348953,651860281,58009.56948
2021-05-31,72.690613,72.822594,66.385757,812347345,56854.14398
2021-06-01,69.211021,73.018677,68.098816,647880398,60940.27009
2021-06-02,70.053764,72.030418,68.196648,572727004,61435.59219
2021-06-03,89.32058,93.973564,69.550507,2389383066,55784.65518
2021-06-04,87.866524,97.089188,85.14267,2768259669,61615.19353
2021-06-05,88.244629,92.913048,86.020752,1276824025,59912.89369
2021-06-06,87.023476,88.983124,86.079536,591943303,60423.23148
2021-06-07,81.864487,92.115517,80.527641,1143664054,61800.56637
2021-06-08,76.222862,83.698524,70.707687,1605805894,60487.69624
2021-06-09,77.572128,78.3508,71.174553,1149778485,61394.94712
2021-06-10,73.382317,78.93277,71.881973,775008531,57801.59974
2021-06-11,70.816826,74.009087,69.965584,549192056,55603.29305
2021-06-12,69.721138,71.309792,66.406921,640431115,56678.94464
2021-06-13,73.185097,73.72493,68.733879,469759272,56394.52694
2021-06-14,74.556,77.191368,71.898857,502357204,57590.30405
2021-06-15,74.318108,75.917244,71.762253,730160957,60164.93228
2021-06-16,69.628685,72.591896,68.687378,500558931,59710.25525
2021-06-17,68.880341,72.057472,67.100937,447547524,58917.65185
2021-06-18,65.678658,68.979294,63.68885,493671224,56982.48655
2021-06-19,64.93502,66.923798,64.557014,385465336,57884.40613
2021-06-20,63.315895,65.00811,60.046967,607250404,58718.33936
2021-06-21,46.222328,63.629108,45.211422,1211512215,57360.51998
2021-06-22,49.314754,52.117207,42.869896,1302930143,57232.51979
2021-06-23,58.006371,59.069931,47.571301,1030884577,56669.35808
2021-06-24,57.141617,59.306206,54.384686,698643625,56794.91272
2021-06-25,52.157543,57.864868,50.480877,704937018,58136.49363
2021-06-26,52.975452,53.236851,50.036411,543457519,57982.81514
2021-06-27,56.127647,56.450695,52.801098,515856078,56087.36561
2021-06-28,56.342426,57.694508,54.981098,550855065,55000.02428
2021-06-29,64.280266,65.860847,56.251221,919971075,49165.91543
2021-06-30,60.372555,65.272461,56.563671,944427532,34014.4491
2021-07-01,56.82608,60.363403,55.326286,552219219,53644.65045
2021-07-02,57.194809,57.375278,55.042671,354599522,64361.35278
2021-07-03,58.858742,59.952709,56.698402,352221812,66801.42674
2021-07-04,58.772308,60.541733,57.996098,322262854,64830.31183
2021-07-05,56.096802,58.700653,55.024509,403080465,66978.14233
2021-07-06,57.038994,58.319843,56.035103,332161267,72157.47909
2021-07-07,56.416328,58.011978,56.37833,248241531,78365.80631
2021-07-08,53.88549,56.537403,52.877533,323216760,82143.69504
2021-07-09,55.207897,55.524311,52.790462,231960437,83002.67072
2021-07-10,54.264488,55.999691,53.681713,175087675,81594.08168
2021-07-11,55.09626,55.778526,54.018112,137700134,80488.64327
2021-07-12,52.528614,55.445843,52.220222,212758160,81252.48698
2021-07-13,50.941856,53.06646,50.417511,248919726,80705.27026
2021-07-14,49.674278,51.209557,48.163345,314370355,83929.92622
2021-07-15,47.173065,50.30843,46.312893,279721477,86367.8481
2021-07-16,45.8703,48.347427,45.812099,218063774,83976.00042
2021-07-17,45.615139,46.186375,45.185581,190859197,82001.55956
2021-07-18,46.892002,47.390114,45.588837,212367005,78958.75485
2021-07-19,44.647362,47.186085,44.582291,212159653,78580.72142
2021-07-20,41.262764,45.091473,41.011566,323857323,78722.8569
2021-07-21,46.171818,47.857037,40.122231,466763062,80287.47216
2021-07-22,45.620296,46.961884,44.629253,264193100,82975.76965
2021-07-23,47.376389,47.502235,44.961079,292789069,85409.53409
2021-07-24,49.526295,51.213566,46.439068,553316334,85390.75225
2021-07-25,49.005375,50.141254,47.232162,411540069,82259.90767
2021-07-26,49.129223,52.833515,48.820858,858305859,82607.12714
2021-07-27,49.637131,49.910278,47.486992,398284564,80767.77857
2021-07-28,49.517242,50.935562,48.448612,423560400,85421.71294
2021-07-29,49.371132,49.760525,48.564499,219746908,86975.22539
2021-07-30,51.307907,51.367092,48.701923,311593317,86825.5087
2021-07-31,52.200218,52.700825,50.408554,414724199,85895.17181
2021-08-01,53.937824,57.955044,51.609936,988440853,81233.02039
2021-08-02,54.483311,55.981476,53.194736,393322140,81695.13189
2021-08-03,54.177982,55.048634,52.870968,315956132,81601.7118
2021-08-04,56.454807,57.321499,54.025234,444570015,83725.57589
2021-08-05,57.844742,58.170635,55.068726,431485997,85519.82849
2021-08-06,64.126648,64.893845,57.223095,869700434,85155.14777
2021-08-07,69.249519,70.77948,63.802666,1246340396,80124.45166
2021-08-08,64.46962,69.30526,63.580502,687456584,85703.34271
2021-08-09,67.768356,68.140625,61.528549,729561124,86481.85973
2021-08-10,66.718857,69.599075,65.137123,621114680,87284.83228
2021-08-11,71.951958,73.965652,66.675995,1096287776,87461.35222
2021-08-12,68.313103,75.058159,66.240891,1058638271,90548.42142
2021-08-13,74.523773,74.770416,68.429276,723557089,84483.79484
2021-08-14,72.532333,75.001198,70.672951,855022864,81123.89986
2021-08-15,73.186211,74.478043,70.235855,672827204,80541.80957
2021-08-16,73.489769,75.610229,72.557007,950408693,84764.54421
2021-08-17,69.557838,74.678207,69.218254,786424262,89694.23902
2021-08-18,67.577591,70.040672,66.311417,688364740,88157.11176
2021-08-19,70.448517,70.448517,66.33551,457961552,89346.57934
2021-08-20,73.149849,73.562843,69.748604,527730479,91870.73139
2021-08-21,78.196701,79.216362,71.675186,926971126,92167.76813
2021-08-22,77.239769,79.038269,75.299881,878396331,87360.2531
2021-08-23,79.983803,82.133263,76.895409,982898796,87329.14568
2021-08-24,74.424599,80.340729,72.671684,890252684,90843.74628
2021-08-25,76.393562,77.934593,72.472389,663545425,90249.23259
2021-08-26,72.440079,78.712463,71.570152,745644637,93065.97047
2021-08-27,75.150642,75.613708,70.629883,625776666,97151.7542
2021-08-28,73.950935,75.434166,72.955132,383214018,95421.03705
2021-08-29,73.672806,75.456963,72.530609,480460797,93212.11666
2021-08-30,71.132118,74.266838,71.076363,418788170,96554.94169
2021-08-31,75.947006,77.535233,70.511955,967841990,95178.58502
2021-09-01,78.735229,78.797424,75.335228,763066232,94226.72727
2021-09-02,77.444252,79.569153,77.073914,558559234,97577.81827
2021-09-03,77.744698,78.919411,75.77018,575359806,100287.1475
2021-09-04,94.900063,96.282898,77.540337,2157334695,96129.80693
2021-09-05,113.604744,119.971771,92.028862,3834940578,93962.46092
2021-09-06,106.24044,118.305763,104.081596,2907164979,91440.99899
2021-09-07,83.971397,110.69265,73.104942,4657342604,88199.8111
2021-09-08,88.206604,93.429459,76.115997,3515736524,94311.9303
2021-09-09,88.571609,93.686005,85.478477,2036642823,97729.78487
2021-09-10,82.488327,91.789497,79.12767,1740077077,101116.0429
